EmployeeNumber,Age,Gender,MaritalStatus,Department,JobRole,JobLevel,MonthlyIncome,YearsAtCompany,TrainingTimesLastYear,JobSatisfaction,WorkLifeBalance,EnvironmentSatisfaction,PerformanceRating,OverTime,DistanceFromHome,BusinessTravel,StockOptionLevel,Attrition,AnnualIncome,IncomePerYearAtCompany
1001,38,Male,Married,Research & Development,Manufacturing Director,2,5586,12,2,4,3,4,3,Yes,14,Travel_Rarely,0,No,67032,5156.31
1002,26,Male,Married,Human Resources,Manager,5,1998,6,6,1,2,3,2,No,18,Travel_Frequently,0,No,23976,3425.14
1003,56,Female,Married,Research & Development,Research Director,5,7746,4,6,1,2,2,3,No,21,Travel_Rarely,2,No,92952,18590.4
1004,34,Male,Married,Research & Development,Laboratory Technician,2,5989,3,3,1,2,2,3,No,2,Travel_Rarely,1,No,71868,17967.0
1005,26,Male,Married,Sales,Manager,4,5091,6,2,1,2,2,2,No,2,Travel_Rarely,1,No,61092,8727.43
1006,54,Female,Married,Sales,Manager,5,12848,23,2,4,4,2,3,Yes,10,Travel_Frequently,3,Yes,154176,6424.0
1007,27,Female,Married,Sales,Manager,3,1800,2,0,4,2,4,3,No,15,Travel_Rarely,3,No,21600,7200.0
1008,48,Female,Married,Research & Development,Research Scientist,2,6977,17,4,2,1,2,3,Yes,21,Travel_Rarely,0,No,83724,4651.33
1009,35,Female,Married,Research & Development,Research Scientist,5,4153,9,5,3,1,2,2,No,15,Travel_Rarely,3,No,49836,4983.6
1010,43,Male,Married,Research & Development,Laboratory Technician,3,4299,13,1,4,4,3,3,No,24,Travel_Rarely,2,Yes,51588,3684.86
1011,39,Male,Married,Sales,Sales Executive,2,10309,14,6,3,2,4,3,No,10,Travel_Frequently,0,No,123708,8247.2
1012,39,Female,Married,Human Resources,Manager,2,1800,14,0,3,1,1,3,No,15,Travel_Frequently,1,No,21600,1440.0
1013,27,Male,Married,Research & Development,Research Scientist,1,3703,5,3,2,3,3,4,No,16,Non-Travel,2,No,44436,7406.0
1014,41,Male,Single,Sales,Manager,1,7907,10,5,2,2,3,3,No,24,Travel_Rarely,2,Yes,94884,8625.82
1015,25,Female,Single,Sales,Manager,4,7199,0,4,1,1,3,3,No,6,Non-Travel,2,Yes,86388,86388.0
1016,23,Male,Single,Sales,Sales Representative,3,1800,0,0,4,3,4,3,Yes,5,Travel_Rarely,1,No,21600,21600.0
1017,35,Male,Single,Research & Development,Manufacturing Director,4,5928,0,2,4,2,3,3,No,29,Travel_Rarely,0,No,71136,71136.0
1018,46,Female,Married,Research & Development,Laboratory Technician,3,4095,12,6,1,1,2,3,No,8,Travel_Rarely,0,No,49140,3780.0
1019,23,Male,Married,Research & Development,Research Director,2,9431,2,6,3,4,4,3,No,3,Travel_Frequently,2,No,113172,37724.0
1020,50,Female,Married,Sales,Sales Executive,4,6739,5,6,1,2,2,2,No,27,Travel_Rarely,1,No,80868,13478.0
1021,57,Female,Married,Research & Development,Research Scientist,2,12842,14,3,4,3,3,3,Yes,15,Travel_Rarely,2,No,154104,10273.6
1022,32,Female,Married,Sales,Sales Representative,4,4165,9,1,2,2,1,4,No,15,Travel_Rarely,3,No,49980,4998.0
1023,33,Male,Single,Sales,Sales Executive,1,9512,9,0,2,2,1,4,Yes,14,Travel_Rarely,0,Yes,114144,11414.4
1024,36,Female,Divorced,Research & Development,Research Scientist,1,8881,14,0,1,3,3,1,No,20,Travel_Rarely,3,No,106572,7104.8
1025,55,Female,Single,Research & Development,Research Director,5,7603,11,6,3,4,1,2,Yes,25,Travel_Rarely,0,Yes,91236,7603.0
1026,28,Male,Single,Research & Development,Manufacturing Director,5,9138,0,5,1,4,1,2,Yes,22,Travel_Rarely,2,Yes,109656,109656.0
1027,40,Male,Married,Sales,Sales Executive,3,5379,16,2,1,3,2,2,No,8,Travel_Rarely,1,No,64548,3796.94
1028,25,Male,Married,Research & Development,Manufacturing Director,2,1889,0,1,1,4,1,3,Yes,3,Travel_Frequently,2,Yes,22668,22668.0
1029,24,Male,Divorced,Research & Development,Manufacturing Director,4,9004,4,2,2,3,4,4,No,5,Travel_Rarely,1,No,108048,21609.6
1030,37,Male,Divorced,Sales,Sales Executive,1,3677,3,1,2,3,1,1,Yes,23,Travel_Rarely,2,No,44124,11031.0
1031,22,Female,Divorced,Research & Development,Research Director,5,5893,1,3,2,2,4,3,No,23,Travel_Rarely,1,No,70716,35358.0
1032,45,Male,Married,Sales,Sales Representative,1,9122,16,6,2,2,3,3,No,14,Travel_Rarely,0,No,109464,6439.06
1033,43,Female,Married,Sales,Sales Executive,2,3278,22,1,3,1,1,3,No,21,Travel_Rarely,0,Yes,39336,1710.26
1034,48,Male,Married,Human Resources,Human Resources,5,6252,24,3,2,3,2,3,No,2,Travel_Frequently,0,No,75024,3000.96
1035,23,Male,Married,Human Resources,Human Resources,3,7294,2,4,4,4,4,3,No,29,Travel_Rarely,0,No,87528,29176.0
1036,45,Female,Divorced,Research & Development,Laboratory Technician,3,5385,21,3,1,3,4,3,No,26,Travel_Frequently,2,No,64620,2937.27
1037,23,Female,Single,Research & Development,Manufacturing Director,4,7112,2,2,2,4,3,2,No,3,Non-Travel,1,No,85344,28448.0
1038,38,Male,Married,Sales,Sales Executive,3,10927,9,5,3,4,3,4,No,12,Travel_Rarely,0,No,131124,13112.4
1039,39,Male,Single,Research & Development,Research Scientist,2,3383,8,6,2,1,2,4,Yes,10,Travel_Rarely,1,Yes,40596,4510.67
1040,29,Male,Married,Research & Development,Research Director,3,7055,1,6,3,2,3,3,No,20,Travel_Rarely,0,No,84660,42330.0
1041,24,Female,Divorced,Sales,Manager,5,3893,3,4,3,2,1,3,No,4,Travel_Rarely,3,No,46716,11679.0
1042,55,Male,Married,Research & Development,Research Scientist,4,10394,22,2,1,1,2,4,No,3,Travel_Rarely,0,No,124728,5422.96
1043,31,Male,Single,Sales,Sales Executive,2,5834,3,4,1,4,2,3,Yes,3,Travel_Rarely,1,Yes,70008,17502.0
1044,36,Male,Divorced,Human Resources,Human Resources,5,4338,16,1,4,3,4,3,Yes,27,Travel_Frequently,1,No,52056,3062.12
1045,55,Female,Married,Sales,Sales Representative,2,9417,12,1,2,3,4,1,Yes,25,Travel_Rarely,1,No,113004,8692.62
1046,41,Female,Married,Research & Development,Research Scientist,3,11252,16,1,3,4,3,3,No,18,Travel_Rarely,1,No,135024,7942.59
1047,58,Female,Single,Research & Development,Research Director,1,5668,8,0,1,1,3,3,No,10,Travel_Rarely,2,No,68016,7557.33
1048,47,Male,Married,Research & Development,Laboratory Technician,1,6230,17,3,1,2,4,2,Yes,13,Travel_Rarely,0,Yes,74760,4153.33
1049,55,Male,Married,Research & Development,Laboratory Technician,3,9959,0,3,4,4,1,4,No,8,Travel_Frequently,0,No,119508,119508.0
1050,28,Male,Single,Sales,Manager,2,6831,4,6,1,4,3,3,No,19,Travel_Rarely,0,No,81972,16394.4
1051,50,Male,Single,Human Resources,Manager,5,4044,12,6,3,3,4,3,No,17,Travel_Rarely,1,No,48528,3732.92
1052,49,Male,Single,Research & Development,Laboratory Technician,2,5662,14,3,1,4,3,3,Yes,4,Travel_Rarely,3,No,67944,4529.6
1053,47,Male,Single,Human Resources,Human Resources,3,11051,19,0,4,3,2,3,Yes,11,Travel_Rarely,2,No,132612,6630.6
1054,34,Male,Single,Research & Development,Research Director,2,5350,8,2,3,3,2,2,No,29,Travel_Rarely,3,No,64200,7133.33
1055,49,Female,Single,Research & Development,Research Director,1,8277,4,4,4,2,4,4,No,25,Travel_Rarely,1,No,99324,19864.8
1056,33,Male,Married,Human Resources,Human Resources,1,6608,1,3,4,1,1,2,No,8,Travel_Rarely,3,No,79296,39648.0
1057,45,Male,Single,Sales,Manager,4,6991,13,0,1,4,1,3,Yes,7,Travel_Rarely,1,No,83892,5992.29
1058,23,Male,Married,Sales,Manager,2,8272,3,4,4,2,3,2,No,8,Travel_Rarely,2,No,99264,24816.0
1059,29,Male,Single,Sales,Sales Executive,4,8849,8,5,4,1,2,3,No,15,Non-Travel,3,Yes,106188,11798.67
1060,34,Male,Single,Research & Development,Research Scientist,2,9315,13,6,1,2,2,2,Yes,22,Travel_Frequently,1,No,111780,7984.29
1061,24,Female,Married,Research & Development,Research Director,2,7726,0,3,3,4,2,4,No,18,Travel_Rarely,3,No,92712,92712.0
1062,25,Female,Single,Sales,Sales Representative,2,8700,5,6,2,2,3,3,No,3,Non-Travel,1,No,104400,17400.0
1063,40,Female,Married,Research & Development,Manufacturing Director,1,8507,18,5,2,3,3,3,Yes,19,Travel_Rarely,3,Yes,102084,5372.84
